sensorspeed,units,gravity,Accuracy
0.673,4.443,7.805,5
0.529,4.338,8.102,5
0.424,4.309,8.336,5
0.383,4.233,8.645,5
0.381,4.13,8.88,5
0.402,4.022,9.074,5
0.433,3.996,9.325,5
0.414,3.938,9.529,5
0.383,3.902,9.584,5
0.436,3.921,9.584,6
0.57,3.967,9.407,5
0.701,4.039,9.218,5
0.859,4.103,8.923,5
1.029,4.209,8.59,5
1.068,4.266,8.31,5
1.094,4.314,8.054,5
1.171,4.338,7.829,5
1.192,4.384,7.604,5
1.18,4.491,7.386,5
1.19,4.577,7.168,5
1.214,4.649,7.034,5
1.178,4.719,6.948,5
1.135,4.819,6.89,5
1.085,4.925,6.857,5
1.046,4.963,6.907,5
1.022,5.006,7.036,5
1.003,5.064,7.202,5
0.917,5.04,7.429,5
0.867,4.985,7.52,5
0.845,4.956,7.556,5
0.946,4.958,7.692,5
1.032,4.953,7.819,5
1.046,4.951,7.941,6
1.044,4.92,8.126,5
1.037,4.865,8.324,5
1.013,4.8,8.53,5
0.946,4.779,8.825,5
0.905,4.747,9.004,5
0.833,4.764,9.067,5
0.802,4.781,9.124,5
0.807,4.817,9.16,5
0.807,4.85,9.225,5
0.766,4.886,9.237,5
0.706,4.944,9.275,5
0.651,4.994,9.273,5
0.615,5.04,9.198,5
0.515,5.109,9.064,5
0.503,5.176,8.942,5
0.467,5.21,8.825,5
0.469,5.238,8.641,5
0.527,5.274,8.542,5
0.598,5.308,8.504,5
0.606,5.353,8.533,5
0.68,5.356,8.605,5
0.74,5.315,8.655,5
0.761,5.226,8.782,5
0.809,5.126,8.954,5
0.759,5.001,9.1,6
0.704,4.889,9.277,5
0.654,4.824,9.404,5
0.651,4.757,9.538,5
0.618,4.75,9.689,5
0.61,4.74,9.809,5
0.524,4.728,9.921,5
0.474,4.755,9.821,5
0.603,4.798,9.773,5
0.888,4.865,9.756,5
1.211,5.075,9.629,5
1.515,5.372,9.421,5
1.65,5.54,9.105,5
1.638,5.619,8.731,5
1.587,5.53,8.368,5
1.415,5.387,8.154,5
1.176,5.31,8.116,5
0.938,5.301,8.138,5
0.716,5.327,8.25,5
0.522,5.415,8.463,5
0.203,5.485,8.607,5
-0.124,5.547,8.765,5
-0.418,5.578,8.961,5
-0.674,5.526,9.067,5
-0.914,5.375,9.1,6
-1.05,5.15,9.213,5
-1.12,4.91,9.359,5
-1.1,4.69,9.591,5
-1.052,4.525,9.792,5
-0.916,4.393,9.921,5
-0.686,4.312,10.063,5
-0.48,4.293,10.089,5
-0.248,4.324,10,5
-0.04,4.369,9.775,5
0.112,4.412,9.45,5
0.285,4.424,9.119,5
0.402,4.441,8.787,5
0.433,4.434,8.482,5
0.407,4.436,8.178,5
0.338,4.491,7.937,5
0.273,4.53,7.843,5
0.259,4.597,7.805,5
0.251,4.685,7.747,5
0.201,4.81,7.764,5
0.191,4.879,7.841,5
0.191,4.956,8.016,5
0.163,4.949,8.176,5
0.146,4.898,8.313,5
0.151,4.795,8.389,6
0.144,4.712,8.461,5
0.029,4.594,8.49,5
0.002,4.51,8.509,5
0.024,4.386,8.631,5
0.012,4.328,8.772,5
-0.054,4.247,8.904,5
-0.131,4.18,9.083,5
-0.215,4.127,9.239,5
-0.298,4.094,9.407,5
-0.291,4.068,9.598,5
-0.341,4.012,9.675,5
-0.329,4.017,9.737,5
-0.294,3.979,9.742,5
-0.226,3.898,9.711,5
-0.183,3.869,9.557,5
-0.162,3.847,9.337,5
-0.073,3.857,9.105,5
0.074,3.881,8.935,5
0.249,3.924,8.767,5
0.429,3.941,8.605,5
0.632,3.965,8.502,5
0.809,4,8.329,5
0.95,4.034,8.166,5
1.085,3.996,8.011,5
1.24,4.003,7.87,5
1.377,4.017,7.702,6
1.537,4.005,7.563,5
1.654,4.039,7.446,5
1.798,4.06,7.307,5
1.855,4.123,7.151,5
1.891,4.206,7.036,5
1.843,4.273,6.926,5
1.743,4.362,6.835,5
1.729,4.441,6.78,5
1.664,4.585,6.73,5
1.575,4.633,6.649,5
1.374,4.704,6.593,5
1.144,4.812,6.653,5
0.845,4.946,6.886,5
0.407,5.078,7.29,5
0.043,5.212,7.735,5
-0.191,5.37,8.063,5
-0.396,5.521,8.202,5
-0.617,5.617,8.313,5
-0.645,5.597,8.37,5
-0.562,5.403,8.432,5
-0.454,5.277,8.449,5
-0.243,5.174,8.535,5
-0.021,5.056,8.557,5
0.266,4.898,8.569,5
0.615,4.759,8.638,6
0.927,4.587,8.626,5
1.13,4.441,8.626,5
1.266,4.266,8.585,5
1.374,4.163,8.502,5
1.446,4.132,8.504,5
1.504,4.137,8.468,5
1.544,4.166,8.451,5
1.549,4.173,8.437,5
1.515,4.214,8.461,5
1.513,4.254,8.449,5
1.518,4.288,8.449,5
1.523,4.288,8.482,5
1.492,4.249,8.573,5
1.52,4.226,8.688,5
1.568,4.216,8.889,5
1.616,4.228,9.134,5
1.606,4.276,9.316,5
1.623,4.355,9.529,5
1.628,4.415,9.708,5
1.623,4.436,9.814,5
1.602,4.451,9.885,5
1.537,4.527,9.926,5
1.492,4.587,9.943,5
1.441,4.666,9.955,6
1.415,4.771,9.878,5
1.511,4.855,9.704,5
1.705,5.032,9.471,5
2.131,5.38,9.189,5
2.511,5.782,8.779,5
2.614,6.098,8.377,5
2.586,6.241,8.061,5
2.497,6.285,7.908,5
2.248,6.239,7.855,5
1.743,6.177,7.616,5
1.255,6.076,7.209,5
0.814,5.976,6.778,5
0.474,5.901,6.565,5
0.247,5.741,6.567,5
0.18,5.645,6.574,5
0.079,5.607,6.696,5
-0.068,5.571,6.943,5
-0.21,5.466,7.328,5
-0.308,5.317,7.8,5
-0.322,5.073,8.435,5
-0.267,4.762,9.177,5
-0.179,4.441,9.871,5
-0.061,4.084,10.47,5
-0.018,3.747,10.893,6
0.041,3.601,11.154,5
0.077,3.522,11.305,5
0.146,3.51,11.344,5
0.364,3.593,11.221,5
0.594,3.689,11.056,5
0.785,3.854,10.757,5
0.95,4.029,10.539,5
1.065,4.194,10.417,5
1.156,4.35,10.302,5
1.137,4.453,10.065,5
1.113,4.616,9.687,5
1.223,4.74,9.172,5
1.341,4.85,8.655,5
1.465,4.975,8.178,5
1.599,5.092,7.733,5
1.757,5.174,7.338,5
1.93,5.243,6.974,5
2.052,5.262,6.615,5
2.095,5.286,6.44,5
2.133,5.281,6.395,5
2.045,5.291,6.44,5
1.93,5.25,6.62,5
1.688,5.164,6.833,5
1.518,5.09,7.158,5
1.374,4.985,7.506,6
1.221,4.896,7.805,5
1.068,4.779,8.188,5
0.936,4.633,8.53,5
0.737,4.448,8.818,5
0.522,4.283,9.059,5
0.385,4.051,9.165,5
0.314,3.807,9.292,5
0.311,3.651,9.344,5
0.412,3.558,9.364,5
0.455,3.486,9.27,5
0.543,3.507,9.213,5
0.689,3.431,9.21,5
0.807,3.354,9.148,5
0.864,3.325,9.031,5
0.857,3.311,8.909,5
0.843,3.337,8.818,5
0.78,3.395,8.863,5
0.757,3.464,8.842,5
0.826,3.562,8.88,5
0.888,3.608,8.978,5
0.9,3.632,8.995,5
0.922,3.735,8.964,5
0.991,3.785,8.978,5
1.101,3.775,8.861,5
1.144,3.799,8.7,6
1.264,3.828,8.518,5
1.389,3.888,8.281,5
1.415,3.996,7.973,5
1.41,4.103,7.69,5
1.389,4.216,7.439,5
1.334,4.345,7.23,5
1.259,4.424,7.108,5
1.171,4.544,7.044,5
1.037,4.671,7.032,5
0.9,4.769,7.063,5
0.73,4.877,7.127,5
0.62,4.949,7.194,5
0.587,5.02,7.233,5
0.591,5.025,7.283,5
0.603,4.999,7.35,5
0.555,4.961,7.357,5
0.385,4.91,7.53,5
0.191,4.932,7.882,5
0.062,4.944,8.315,5
0.031,4.937,8.765,5
0.089,4.886,9.062,5
0.05,4.838,9.189,5
0.019,4.807,9.256,5
0.01,4.803,9.32,5
0.06,4.673,9.342,6
0.115,4.585,9.268,5
0.196,4.57,9.213,5
0.328,4.558,9.129,5
0.493,4.589,9.007,5
0.658,4.609,8.763,5
0.79,4.609,8.564,5
0.898,4.645,8.327,5
0.953,4.656,8.109,5
1.017,4.719,7.891,5
1.041,4.771,7.745,5
1.037,4.812,7.683,5
1.037,4.86,7.709,5
1.025,4.92,7.738,5
0.974,5.016,7.743,5
0.907,5.095,7.709,5
0.776,5.152,7.695,5
0.663,5.219,7.666,5
0.61,5.202,7.645,5
0.608,5.236,7.585,5
0.615,5.217,7.537,5
0.67,5.159,7.525,5
0.768,5.073,7.573,5
0.84,4.992,7.68,5
0.955,4.932,7.85,5
1.085,4.858,8.042,6
1.195,4.812,8.243,5
1.345,4.841,8.535,5
1.58,4.901,8.799,5
1.875,5.095,8.952,5
2.174,5.332,8.99,5
2.318,5.559,8.918,5
2.253,5.696,8.65,5
2.133,5.731,8.336,5
1.891,5.643,8.135,5
1.518,5.569,8.008,5
1.183,5.569,7.922,5
0.85,5.545,7.898,5
0.527,5.516,7.994,5
0.201,5.483,8.154,5
-0.047,5.475,8.391,5
-0.274,5.382,8.626,5
-0.442,5.272,8.873,5
-0.576,5.071,9.206,5
-0.617,4.846,9.62,5
-0.559,4.587,10.048,5
-0.495,4.321,10.336,5
-0.358,4.132,10.659,5
-0.279,3.957,10.872,5
-0.205,3.785,11.018,6
-0.052,3.629,11.111,5
0.079,3.488,11.14,5
0.187,3.337,11.207,5
0.299,3.139,11.214,5
0.376,2.997,11.231,5
0.491,2.892,11.315,5
0.565,2.873,11.358,5
0.642,2.914,11.327,5
0.752,3.005,11.272,5
0.84,3.158,11.102,5
0.9,3.333,10.8,5
0.9,3.522,10.424,5
0.797,3.668,10.06,5
0.687,3.809,9.689,5
0.519,3.912,9.373,5
0.371,4.005,9.083,5
0.261,4.084,8.76,5
0.112,4.163,8.535,5
0,4.269,8.394,5
-0.095,4.29,8.322,5
-0.1,4.379,8.265,5
-0.1,4.403,8.329,5
-0.078,4.384,8.351,5
-0.059,4.376,8.377,6
-0.03,4.317,8.38,5
0.038,4.259,8.418,5
0.06,4.211,8.478,5
0.079,4.182,8.499,5
0.041,4.175,8.578,5
-0.028,4.175,8.72,5
-0.109,4.194,8.842,5
-0.226,4.197,9.012,5
-0.399,4.242,9.122,5
-0.552,4.247,9.21,5
-0.72,4.194,9.213,5
-0.799,4.199,9.244,5
-0.808,4.163,9.325,5
-0.873,4.034,9.459,5
-0.885,3.943,9.478,5
-0.859,3.883,9.5,5
-0.753,3.862,9.653,5
-0.595,3.787,9.742,5
-0.373,3.744,9.687,5
-0.095,3.737,9.557,5
0.12,3.694,9.488,5
0.35,3.613,9.364,5
0.596,3.572,9.21,5
0.795,3.56,8.985,5
0.967,3.512,8.782,6
1.065,3.517,8.528,5
1.19,3.55,8.262,5
1.283,3.586,8.008,5
1.367,3.649,7.853,5
1.334,3.751,7.685,5
1.24,3.854,7.46,5
1.106,3.967,7.393,5
1.022,4.068,7.333,5
0.883,4.249,7.276,5
0.759,4.36,7.247,5
0.654,4.51,7.269,5
0.546,4.647,7.249,5
0.462,4.759,7.223,5
0.385,4.882,7.228,5
0.278,4.985,7.283,5
0.177,5.044,7.336,5
0.093,5.035,7.415,5
0.057,5.08,7.494,5
-0.023,5.114,7.544,5
-0.116,5.107,7.597,5
-0.162,5.109,7.623,5
-0.181,5.121,7.625,5
-0.195,5.126,7.7,5
-0.155,5.042,7.747,5
-0.159,4.958,7.829,5
-0.155,4.877,7.846,6
-0.14,4.829,7.915,5
-0.052,4.798,7.977,5
0.127,4.726,8.075,5
0.256,4.625,8.109,5
0.323,4.587,8.169,5
0.472,4.587,8.186,5
0.541,4.635,8.14,5
0.591,4.649,8.03,5
0.699,4.666,8.03,5
0.795,4.654,7.973,5
0.85,4.666,7.917,5
0.857,4.661,7.927,5
0.869,4.716,7.879,5
0.828,4.736,7.786,5
0.819,4.759,7.704,5
0.797,4.822,7.659,5
0.747,4.867,7.623,5
0.709,4.917,7.58,5
0.658,4.932,7.649,5
0.584,4.965,7.798,5
0.524,5.006,7.92,5
0.412,5.025,8.104,5
0.299,5.03,8.291,5
0.302,5.032,8.435,5
0.328,4.994,8.571,6
0.338,4.958,8.696,5
0.326,4.905,8.705,5
0.247,4.815,8.7,5
0.141,4.771,8.674,5
0.029,4.764,8.645,5
-0.037,4.793,8.652,5
-0.066,4.898,8.696,5
0.041,5.066,8.72,5
0.302,5.384,8.753,5
0.606,5.779,8.605,5
0.771,6.153,8.344,5
0.826,6.328,8.097,5
0.785,6.268,8.006,5
0.67,6.11,8.092,5
0.505,5.913,8.109,5
0.263,5.736,8.195,5
0.029,5.562,8.214,5
-0.174,5.423,8.269,5
-0.234,5.353,8.444,5
-0.32,5.315,8.631,5
-0.454,5.207,8.952,5
-0.566,5.035,9.287,5
-0.667,4.803,9.692,5
-0.756,4.558,10.197,6
-0.701,4.367,10.558,5
-0.6,4.159,11.111,5
-0.449,3.917,11.585,5
-0.31,3.72,11.877,5
-0.128,3.491,12.103,5
0.057,3.234,12.194,5
0.297,2.997,12.186,5
0.505,2.806,12.124,5
0.766,2.602,11.956,5
1.034,2.435,11.71,5
1.238,2.394,11.425,5
1.475,2.317,11.128,5
1.606,2.274,10.589,5
1.606,2.406,10.087,5
1.585,2.636,9.646,5
1.537,2.892,9.167,5
1.441,3.122,8.844,5
1.326,3.392,8.557,5
1.152,3.617,8.391,5
0.934,3.84,8.274,5
0.754,4.077,8.157,5
0.692,4.302,7.999,5
0.668,4.479,7.86,5
0.68,4.668,7.645,5
0.747,4.764,7.477,6
0.876,4.819,7.369,5
1.034,4.757,7.29,5
1.128,4.616,7.259,5
1.243,4.477,7.328,5
1.377,4.317,7.434,5
1.434,4.182,7.554,5
1.506,4.08,7.68,5
1.544,3.941,7.762,5
1.496,3.797,7.764,5
1.393,3.665,7.81,5
1.269,3.536,7.891,5
1.032,3.38,8.083,5
0.685,3.297,8.43,5
0.359,3.27,8.928,5
0.139,3.256,9.335,5
0.026,3.251,9.871,5
-0.169,3.304,10.36,5
-0.404,3.34,10.798,5
-0.617,3.361,11.135,5
-0.768,3.388,11.346,5
-0.844,3.416,11.363,5
-0.847,3.388,11.272,5
-0.746,3.344,11.066,5
-0.523,3.316,10.7,5
-0.25,3.299,10.23,6
-0.006,3.301,9.68,5
0.23,3.309,9.086,5
0.421,3.33,8.557,5
0.594,3.481,8.131,5
0.689,3.51,7.836,5
0.807,3.596,7.546,5
0.905,3.72,7.317,5
0.924,3.874,7.111,5
0.946,4.034,6.888,5
0.962,4.159,6.699,5
0.946,4.348,6.608,5
0.893,4.513,6.581,5
0.795,4.652,6.651,5
0.687,4.798,6.857,5
0.584,4.901,7.041,5
0.503,4.968,7.288,5
0.505,5.018,7.496,5
0.493,5.085,7.633,5
0.436,5.143,7.671,5
0.462,5.154,7.568,5
0.546,5.229,7.506,5
0.567,5.241,7.307,5
0.481,5.262,7.137,5
0.433,5.277,7.046,5
0.474,5.269,6.977,6
0.488,5.286,6.977,5
0.496,5.305,7.041,5
0.46,5.284,7.187,5
0.488,5.219,7.374,5
0.498,5.169,7.637,5
0.45,5.123,7.965,5
0.457,5.059,8.332,5
0.505,4.982,8.662,5
0.486,4.889,8.954,5
0.536,4.824,9.258,5
0.598,4.728,9.483,5
0.678,4.63,9.639,5
0.771,4.597,9.713,5
0.826,4.592,9.713,5
0.919,4.542,9.704,5
1.029,4.52,9.651,5
1.12,4.532,9.541,5
1.214,4.551,9.421,5
1.278,4.58,9.213,5
1.226,4.64,8.957,5
1.156,4.704,8.715,5
1.116,4.771,8.499,5
1.034,4.824,8.334,5
0.886,4.891,8.222,6
0.84,4.965,8.166,5
0.749,5.052,8.171,5
0.606,5.121,8.116,5
0.555,5.14,8.174,5
0.5,5.169,8.296,5
0.409,5.19,8.509,5
0.338,5.195,8.782,5
0.333,5.2,9.174,5
0.335,5.14,9.476,5
0.376,5.073,9.692,5
0.4,4.97,9.866,5
0.433,4.862,9.96,5
0.452,4.8,9.902,5
0.551,4.783,9.866,5
0.493,4.803,9.795,5
0.515,4.826,9.641,5
0.577,4.874,9.498,5
0.56,5.013,9.285,5
0.689,5.174,9.024,5
0.869,5.437,8.667,5
0.974,5.76,8.26,5
0.938,6.067,7.846,5
0.824,6.225,7.513,5
0.646,6.127,7.288,5
0.361,5.957,7.312,6
0.019,5.772,7.58,5
-0.243,5.66,7.946,5
-0.449,5.595,8.296,5
-0.698,5.602,8.708,5
-0.897,5.688,9.146,5
-0.997,5.703,9.522,5
-1.002,5.643,9.763,5
-1.021,5.377,10.003,5
-1.088,5.08,10.108,5
-1.019,4.764,10.233,5
-0.799,4.352,10.357,5
-0.655,3.981,10.467,5
-0.473,3.67,10.518,5
-0.334,3.483,10.494,5
-0.207,3.313,10.496,5
-0.126,3.208,10.47,5
-0.059,3.124,10.4,5
-0.021,2.942,10.429,5
0.005,2.811,10.482,5
0.065,2.672,10.501,5
0.12,2.6,10.534,5
0.254,2.502,10.549,5
0.335,2.528,10.458,5
0.39,2.576,10.283,6
0.503,2.729,10.125,5
0.565,2.839,9.955,5
0.606,2.909,9.682,5
0.706,3.055,9.414,5
0.79,3.167,9.167,5
0.8,3.232,8.899,5
0.79,3.323,8.626,5
0.783,3.356,8.348,5
0.812,3.373,8.188,5
0.828,3.4,8.061,5
0.869,3.459,7.992,5
0.857,3.572,7.956,5
0.778,3.593,7.908,5
0.701,3.644,7.903,5
0.517,3.701,7.973,5
0.278,3.706,8.032,5
0.007,3.747,8.068,5
-0.289,3.814,8.028,5
-0.574,3.809,7.984,5
-0.909,3.85,7.886,5
-1.23,3.864,7.791,5
-1.515,3.9,7.702,5
-1.764,3.941,7.702,5
-2.02,3.967,7.762,6
-2.24,3.962,7.86,5
-2.369,3.907,8.035,5
-2.388,3.83,8.229,5
-2.345,3.72,8.43,5
-2.214,3.586,8.576,5
-1.984,3.397,8.693,5
-1.68,3.203,8.751,5
-1.38,2.976,8.794,5
-1.009,2.789,8.806,5
-0.629,2.674,8.863,5
-0.315,2.557,8.842,5
-0.006,2.456,8.81,5
0.211,2.42,8.724,5
0.414,2.442,8.607,5
0.589,2.475,8.456,5
0.701,2.562,8.238,5
0.759,2.674,8.016,5
0.74,2.753,7.798,5
0.742,2.858,7.668,5
0.721,2.969,7.53,5
0.721,3.146,7.376,5
0.78,3.347,7.345,5
0.797,3.529,7.376,5
0.792,3.708,7.384,5
0.79,3.883,7.35,6
0.831,4.01,7.305,5
0.814,4.072,7.223,5
0.773,4.135,7.187,5
0.74,4.178,7.135,5
0.711,4.261,7.17,5
0.615,4.324,7.204,5
0.426,4.475,7.271,5
0.23,4.628,7.331,5
0.072,4.774,7.36,5
-0.102,4.903,7.328,5
-0.195,4.975,7.364,5
-0.241,4.968,7.455,5
-0.298,4.97,7.585,5
-0.315,4.946,7.709,5
-0.253,4.891,7.819,5
-0.114,4.807,7.927,5
0.019,4.697,8.037,5
0.16,4.568,8.135,5
0.385,4.472,8.25,5
0.596,4.372,8.281,5
0.812,4.302,8.396,5
1.044,4.228,8.504,5
1.176,4.187,8.602,5
1.334,4.127,8.739,6
1.487,4.108,8.827,5
1.566,4.103,8.887,5
1.626,4.123,8.942,5
1.695,4.156,9.007,5
1.755,4.206,9.064,5
1.786,4.247,9.112,5
1.781,4.293,9.134,5
1.738,4.34,9.21,5
1.738,4.405,9.16,5
1.712,4.458,9.103,5
1.568,4.549,9.062,5
1.355,4.592,9.002,5
1.211,4.688,9.074,5
1.061,4.736,9.079,5
0.907,4.848,9.115,5
0.747,4.884,9.237,5
0.704,4.91,9.471,5
0.606,4.903,9.646,5
0.469,4.853,9.785,5
0.338,4.831,10.044,5
0.251,4.771,10.288,5
0.189,4.702,10.534,5
0.254,4.642,10.834,5
0.338,4.606,10.982,5
0.491,4.589,11.061,6
0.816,4.685,11.018,5
1.228,4.898,10.707,5
1.618,5.274,10.197,5
1.829,5.617,9.598,5
1.879,5.722,8.954,5
1.815,5.743,8.356,5
1.616,5.621,8.102,5
1.266,5.396,7.984,5
0.797,5.327,8.107,5
0.426,5.298,8.535,5
0.096,5.186,9.002,5
-0.248,5.032,9.502,5
-0.545,4.841,9.986,5
-0.713,4.532,10.472,5
-0.806,4.17,10.982,5
-0.808,3.807,11.533,5
-0.698,3.486,12.129,5
-0.535,3.203,12.713,5
-0.286,2.899,13.132,5
0.069,2.727,13.302,5
0.445,2.638,13.185,5
0.891,2.576,12.768,5
1.204,2.554,12.086,5
1.396,2.609,11.277,5
1.458,2.686,10.46,6
1.511,2.751,9.821,5
1.508,2.794,9.241,5
1.42,2.904,8.655,5
1.293,3.074,8.219,5
1.123,3.285,7.788,5
0.97,3.541,7.46,5
0.809,3.854,7.269,5
0.536,4.202,7.154,5
0.237,4.467,7.149,5
0.041,4.724,7.23,5
-0.112,4.846,7.338,5
-0.119,4.879,7.554,5
-0.052,4.783,7.714,5
0.055,4.64,7.834,5
0.223,4.47,7.917,5
0.491,4.23,7.862,5
0.809,4.005,7.803,5
1.022,3.809,7.676,5
1.176,3.641,7.637,5
1.278,3.443,7.58,5
1.427,3.244,7.601,5
1.496,3.081,7.752,5
1.48,2.933,7.984,5
1.386,2.801,8.303,5
1.305,2.794,8.636,6
1.166,2.825,8.99,5
1.013,2.815,9.431,5
0.927,2.892,9.907,5
0.826,3.014,10.316,5
0.716,3.129,10.537,5
0.539,3.227,10.585,5
0.397,3.306,10.494,5
0.28,3.309,10.34,5
0.297,3.373,10.202,5
0.304,3.407,9.984,5
0.294,3.407,9.727,5
0.33,3.462,9.514,5
0.364,3.531,9.244,5
0.4,3.61,8.988,5
0.46,3.687,8.734,5
0.567,3.694,8.506,5
0.673,3.761,8.289,5
0.8,3.799,8.166,5
0.859,3.814,8.052,5
0.941,3.845,7.977,5
1.015,3.938,7.92,5
1.099,3.957,7.865,5
1.14,3.953,7.858,5
1.166,3.919,7.803,6
1.149,3.945,7.838,5
1.101,3.977,7.831,5
1.053,4.027,7.805,5
1.039,4.077,7.738,5
1.032,4.101,7.656,5
1.022,4.101,7.671,5
1.006,4.07,7.697,5
1.02,4.034,7.716,5
0.938,4.034,7.853,5
0.816,4.058,7.992,5
0.668,4.106,8.214,5
0.558,4.211,8.471,5
0.424,4.297,8.703,5
0.333,4.326,8.973,5
0.223,4.403,9.261,5
0.141,4.417,9.402,5
0.144,4.357,9.404,5
0.259,4.249,9.383,5
0.426,4.197,9.289,5
0.651,4.108,9.232,5
0.864,4.029,9.119,5
1.068,3.967,9.004,5
1.156,3.998,8.854,5
1.178,4.012,8.736,6
1.204,4.041,8.645,5
1.197,4.113,8.566,5
1.166,4.151,8.535,5
1.132,4.204,8.48,5
1.013,4.295,8.437,5
0.9,4.333,8.413,5
0.792,4.388,8.377,5
0.706,4.453,8.324,5
0.627,4.52,8.389,5
0.56,4.525,8.535,5
0.5,4.549,8.767,5
0.508,4.513,8.887,5
0.56,4.482,8.906,5
0.575,4.47,8.93,5
0.563,4.431,8.949,5
0.563,4.367,8.959,5
0.642,4.295,9.057,5
0.723,4.278,9.177,5
0.831,4.259,9.253,5
0.917,4.238,9.318,5
1.111,4.238,9.364,5
1.338,4.391,9.428,5
1.551,4.649,9.395,5
1.697,4.973,9.241,5
1.654,5.133,9.074,6
1.492,5.15,8.758,5
1.233,5.056,8.597,5
1.008,4.85,8.624,5
0.895,4.582,8.832,5
0.804,4.53,8.77,5
0.61,4.712,8.736,5
0.421,4.927,8.662,5
0.148,5.011,8.487,5
-0.083,4.915,8.447,5
-0.313,4.704,8.509,5
-0.545,4.501,8.746,5
-0.744,4.161,9.11,5
-0.756,3.778,9.555,5
-0.679,3.459,10.029,5
-0.6,3.22,10.525,5
-0.559,3.024,11.056,5
-0.533,2.827,11.547,5
-0.581,2.665,11.966,5
-0.593,2.533,12.284,5
-0.641,2.478,12.55,5
-0.662,2.451,12.694,5
-0.708,2.578,12.589,5
-0.768,2.751,12.378,5
-0.76,2.966,12.05,5
-0.61,3.206,11.621,6
-0.499,3.347,11.116,5
-0.42,3.407,10.477,5
-0.262,3.33,9.818,5
-0.092,3.244,9.165,5
0.017,3.234,8.621,5
0.18,3.237,8.188,5
0.419,3.299,7.91,5
0.663,3.404,7.645,5
0.8,3.5,7.374,5
0.876,3.596,7.101,5
0.948,3.677,6.919,5
0.948,3.759,6.775,5
0.886,3.819,6.73,5
0.812,3.835,6.735,5
0.687,3.905,6.814,5
0.522,3.95,6.9,5
0.407,4,7.017,5
0.203,4.02,7.178,5
0.014,4.005,7.336,5
-0.047,4,7.544,5
-0.092,3.905,7.776,5
-0.176,3.792,7.994,5
-0.215,3.622,8.119,5
-0.183,3.431,8.363,6
-0.057,3.21,8.641,5
0.081,3.088,8.961,5
0.256,2.959,9.234,5
0.44,2.914,9.524,5
0.575,2.942,9.682,5
0.749,2.969,9.72,5
0.845,3.002,9.653,5
0.991,3.086,9.534,5
1.116,3.105,9.359,5
1.185,3.21,9.136,5
1.25,3.311,8.83,5
1.317,3.435,8.597,5
1.357,3.548,8.384,5
1.389,3.661,8.202,5
1.386,3.785,8.013,5
1.422,3.883,7.829,5
1.429,4.017,7.671,5
1.365,4.113,7.513,5
1.336,4.259,7.472,5
1.326,4.41,7.491,5
1.305,4.513,7.467,5
1.293,4.597,7.429,5
1.211,4.69,7.357,5
1.108,4.819,7.326,5
1.065,4.884,7.424,6
0.977,4.927,7.554,5
0.833,4.949,7.752,5
0.622,4.937,7.925,5
0.438,4.982,8.073,5
0.278,5.025,8.166,5
0.105,5.056,8.243,5
-0.021,5.085,8.332,5
-0.092,5.085,8.399,5
-0.207,5.047,8.466,5
-0.325,5.018,8.566,5
-0.42,5.018,8.641,5
-0.478,4.985,8.667,5
-0.454,4.894,8.686,5
-0.272,4.824,8.806,5
-0.1,4.771,8.935,5
0.117,4.716,8.959,5
0.338,4.642,8.937,5
0.577,4.566,8.897,5
0.795,4.558,8.851,5
0.943,4.472,8.822,5
0.998,4.451,8.722,5
1.068,4.431,8.708,5
1.178,4.451,8.724,5
1.259,4.482,8.763,6
1.276,4.513,8.806,5
1.262,4.534,8.863,5
1.257,4.616,8.844,5
1.226,4.633,8.875,5
1.159,4.714,8.901,5
1.13,4.747,8.957,5
1.137,4.743,9.026,5
1.104,4.779,9.095,5
1.037,4.81,9.194,5
0.972,4.819,9.306,5
0.831,4.858,9.414,5
0.759,4.836,9.39,5
0.706,4.85,9.376,5
0.625,4.85,9.364,5
0.546,4.822,9.337,5
0.503,4.798,9.344,5
0.479,4.862,9.39,5
0.567,4.965,9.445,5
0.742,5.107,9.435,5
0.917,5.277,9.356,5
1.089,5.475,9.275,5
1.202,5.54,9.083,5
1.214,5.511,8.887,5
1.178,5.459,8.624,5
1.118,5.396,8.327,6
0.931,5.255,8.054,5
0.68,5.145,7.917,5
0.481,5.044,7.939,5
0.304,4.987,8.097,5
0.175,4.975,8.332,5
-0.013,5.025,8.664,5
-0.097,4.975,9.052,5
-0.157,4.901,9.443,5
-0.179,4.771,9.811,5
-0.114,4.585,10.166,5
-0.004,4.386,10.448,5
0.136,4.166,10.632,5
0.359,3.945,10.843,5
0.649,3.821,11.032,5
0.895,3.632,11.097,5
1.003,3.474,11.145,5
1.104,3.265,11.02,5
1.231,3.076,10.891,5
1.336,2.952,10.791,5
1.415,2.89,10.652,5
1.58,2.813,10.494,5
1.695,2.832,10.29,5
1.772,2.88,9.988,5
1.788,2.981,9.598,6
1.848,3.095,9.258,5
1.855,3.237,8.985,5
1.788,3.412,8.779,5
1.628,3.567,8.619,5
1.489,3.756,8.514,5
1.413,3.938,8.375,5
1.377,4.106,8.133,5
1.312,4.242,7.891,5
1.259,4.319,7.642,5
1.216,4.343,7.558,5
1.204,4.372,7.599,5
1.128,4.408,7.728,5
1.015,4.374,7.848,5
0.948,4.35,8.059,5
0.879,4.36,8.274,5
